fund_name,company,exposure_musd,entry_round,entry_valuation_musd
Sequoia Capital Growth Fund II,Anthropic,1.81,Series B,4100
Sequoia Capital Growth Fund II,Modal Labs,0.62,Seed,45
Sequoia Capital Growth Fund II,Cursor,0.71,Series A,400
Sequoia Capital Growth Fund II,Vercel,0.58,Series C,1100
Andreessen Horowitz Fund VII,Anthropic,1.45,Series C,15000
Andreessen Horowitz Fund VII,Cursor,0.78,Series A,400
Andreessen Horowitz Fund VII,Modal Labs,0.51,Series A,180
Andreessen Horowitz Fund VII,Mistral,0.84,Series A,2000
Andreessen Horowitz Fund VII,Vercel,0.62,Series D,2500
Founders Fund VIII,Anthropic,0.92,Series D,18000
Founders Fund VIII,Cursor,0.51,Series B,900
Founders Fund VIII,Mistral,0.78,Series B,4500
Founders Fund VIII,Cognition,0.62,Series A,2000
Lattice Ventures Fund III,Anthropic,0.45,Series B,4100
Lattice Ventures Fund III,Cursor,0.48,Series A,400
Greylock Partners XVI,Anthropic,0.62,Series D,18000
Greylock Partners XVI,Cognition,0.45,Series A,2000
Greylock Partners XVI,Inkeep,0.21,Seed,40
Khosla Ventures VIII,Mistral,0.38,Series B,4500
Lux Capital Fund VII,Modal Labs,0.32,Series A,180
Lux Capital Fund VII,Daytona,0.18,Seed,35
Coatue Early Stage Fund III,Anthropic,0.84,Series E,40000
Coatue Early Stage Fund III,Cognition,0.58,Series A,2000
