fund_id,asset_class,quarter_end,return_pct
VTI,US Equity,2023-01-01,5.53
VXUS,Intl Equity,2023-01-01,0.53
AGG,Fixed Income,2023-01-01,1.87
VNQ,Real Assets,2023-01-01,7.29
PE-KKR-IV,Private Equity,2023-01-01,2.1
VTI,US Equity,2023-04-01,1.51
VXUS,Intl Equity,2023-04-01,12.55
AGG,Fixed Income,2023-04-01,2.05
VNQ,Real Assets,2023-04-01,-0.68
PE-KKR-IV,Private Equity,2023-04-01,6.76
VTI,US Equity,2023-07-01,0.25
VXUS,Intl Equity,2023-07-01,-1.76
AGG,Fixed Income,2023-07-01,1.26
VNQ,Real Assets,2023-07-01,-6.45
PE-KKR-IV,Private Equity,2023-07-01,-6.85
VTI,US Equity,2023-10-01,-0.29
VXUS,Intl Equity,2023-10-01,-5.59
AGG,Fixed Income,2023-10-01,1.37
VNQ,Real Assets,2023-10-01,-2.43
PE-KKR-IV,Private Equity,2023-10-01,-4.97
VTI,US Equity,2024-01-01,10.86
VXUS,Intl Equity,2024-01-01,-0.08
AGG,Fixed Income,2024-01-01,1.0
VNQ,Real Assets,2024-01-01,-4.5
PE-KKR-IV,Private Equity,2024-01-01,0.23
VTI,US Equity,2024-04-01,3.41
VXUS,Intl Equity,2024-04-01,-6.56
AGG,Fixed Income,2024-04-01,1.46
VNQ,Real Assets,2024-04-01,-1.2
PE-KKR-IV,Private Equity,2024-04-01,1.75
VTI,US Equity,2024-07-01,-0.51
VXUS,Intl Equity,2024-07-01,14.47
AGG,Fixed Income,2024-07-01,0.88
VNQ,Real Assets,2024-07-01,-3.03
PE-KKR-IV,Private Equity,2024-07-01,8.44
VTI,US Equity,2024-10-01,-3.91
VXUS,Intl Equity,2024-10-01,2.96
AGG,Fixed Income,2024-10-01,-2.04
VNQ,Real Assets,2024-10-01,-4.11
PE-KKR-IV,Private Equity,2024-10-01,4.68
VTI,US Equity,2025-01-01,6.86
VXUS,Intl Equity,2025-01-01,2.7
AGG,Fixed Income,2025-01-01,0.73
VNQ,Real Assets,2025-01-01,-0.0
PE-KKR-IV,Private Equity,2025-01-01,-5.37
VTI,US Equity,2025-04-01,-1.16
VXUS,Intl Equity,2025-04-01,-1.72
AGG,Fixed Income,2025-04-01,2.49
VNQ,Real Assets,2025-04-01,2.57
PE-KKR-IV,Private Equity,2025-04-01,-7.08
VTI,US Equity,2025-07-01,4.58
VXUS,Intl Equity,2025-07-01,-1.2
AGG,Fixed Income,2025-07-01,-0.12
VNQ,Real Assets,2025-07-01,3.65
PE-KKR-IV,Private Equity,2025-07-01,9.69
VTI,US Equity,2025-10-01,7.92
VXUS,Intl Equity,2025-10-01,-4.37
AGG,Fixed Income,2025-10-01,0.44
VNQ,Real Assets,2025-10-01,2.53
PE-KKR-IV,Private Equity,2025-10-01,9.35
VTI,US Equity,2026-01-01,0.16
VXUS,Intl Equity,2026-01-01,0.2
AGG,Fixed Income,2026-01-01,-0.76
VNQ,Real Assets,2026-01-01,-3.58
PE-KKR-IV,Private Equity,2026-01-01,8.38
